SECTION,SCHOOL,COURSE_CODE,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE,MODE,Link,PUBLISH?,START_TIME,END_TIME,DAYS,TOTAL_ENR,MODALITY,INSTRUCTOR_NAME,ASSIGNED_ROOM,TOTAL_ENR_1,COURSE_DESCRIPTION
22931,DENT,DENT-221,1,1,1,Introduction to Dentistry,C,,Y,17:00,19:00,M,47,,"Navazesh, Mahvash",,47,History and current role of dental science in the health services field; review of research; overview of dental procedures with laboratory experience and practice observation.
22932,DENT,DENT-412,1,3,3,Fundamentals of Craniofacial and Dental Technology,C,,Y,14:00,16:50,T,21,,"Enciso, Reyes",TBA,21,"Biomedical engineering and technology applied to oral health professions. Dental biomaterials, CAD-CAM, digital dental technology and tissue engineering applications to craniofacial diseases, disorders, and enhancements. Recommended preparation: junior standing."
22911,DENT,DENT-695,26,4,4,Clinic Completion,C,,Y,TBA,TBA,,3,,,OFFICE,3,"Course is provided only for the purpose of demonstrating skills in | the clinic. It is not available for subject, unit or degree credit. | The course may be registered for only as an audit."
22912,DENT,DENT-695,29,2,2,Clinic Completion,C,,Y,TBA,TBA,,0,,,OFFICE,0,"Course is provided only for the purpose of demonstrating skills in | the clinic. It is not available for subject, unit or degree credit. | The course may be registered for only as an audit."
22902,DENT,DENT-850,23,15,15,Advanced Dentistry Third Year,C,,Y,TBA,TBA,,8,,,,8,For registration and fee purposes only.
23102,DENT,DMAT-701,637,2,2,Advanced Biomaterials,C,,Y,TBA,TBA,,10,,"Phark, Jin-Ho",OFFICE,10,Fundamental principles of materials science and clinical dentistry relative to proper selection and manipulation of dental materials.
23108,DENT,DMAT-701,9,2,2,Advanced Biomaterials,C,,Y,TBA,TBA,,5,,"Phark, Jin-Ho",OFFICE,5,Fundamental principles of materials science and clinical dentistry relative to proper selection and manipulation of dental materials.
23101,DENT,DMAT-701,715,2,2,Advanced Biomaterials,C,,Y,TBA,TBA,,2,,"Phark, Jin-Ho",OFFICE,2,Fundamental principles of materials science and clinical dentistry relative to proper selection and manipulation of dental materials.
23212,DENT,DPBL-501B,6,3,3,Dental Problem Based Learning--Human Structure I,C,,Y," | TBA"," | TBA",,145,,"Navazesh, Mahvash | Snead, Malcolm, L | Urata, Mark, Masaru"," | OFFICE",145,"Problem based learning presentation of normal and abnormal structures including anatomy, cell biology, embryology, histology, pathology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized human clinical case. Acceptance to DDS pro | gram required."
23213,DENT,DPBL-502B,6,8,8,Dental Problem Based Learning -- Human Function I,C,,Y," | TBA"," | TBA",,145,,"Navazesh, Mahvash | Chen, Casey | Urata, Mark, Masaru"," | OFFICE",145,"Problem based learning presentation of normal and abnormal function including biochemistry, endocrinology, genetics, immunology, microbiology, nutrition, pharmacology, physiology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized | human clinical case. Acceptance to DDS program required."
23214,DENT,DPBL-503B,6,2,2,Dental Problem Based Learning -- Human Behavior I,C,,Y," | TBA"," | TBA",,145,,"Navazesh, Mahvash | Suarez, Piedad | Urata, Mark, Masaru"," | OFFICE",145,"Problem based learning presentation of normal and abnormal behavior including communication, ethics, multiculturalism, patient management, phobias associated with the treatment of patients with and without special needs. All material discussed with direct relationship to a well-characterized human c | linical case. Acceptance to DDS program required."
23215,DENT,DPBL-504B,6,4,4,Dental Problem Based Learning -- Human Clinical Dentistry I,C,,Y," | TBA"," | TBA",,146,,"Navazesh, Mahvash | Chen, Casey | Duarte, Sillas | Urata, Mark, Masaru"," | OFFICE",146,"Problem based learning approach to the delivery of dental health care. Didactic, preclinical and clinical principles of endodontics, geriatrics, oral diagnosis, oral pathology, oral radiology, oral surgery, orthodontics, pediatric dentistry, periodontics, prosthodontics and restorative dentistry wil | l be presented with a direct relationship to a well-characterized human clinical case. Acceptance into DDS program required."
23208,DENT,DPBL-511B,39,2,2,Dental Problem Based Learning -- Human Structure II,C,,Y," | TBA"," | TBA",,142,,"Navazesh, Mahvash | Snead, Malcolm, L | Urata, Mark, Masaru"," | OFFICE",142,"Problem based learning presentation of normal and abnormal structures including anatomy, cell biology, embryology, histology, pathology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized human clinical case."
23439,DENT,GDEN-731,315,0.5,0.5,GDEN Case Portfolio Preparation for Dental Residents,C,,Y,TBA,TBA,,1,A,"Mulligan, Roseann | Sharifi, Nazanin | Hou, Lisa | Mohammadi, Mehdi | Clark, Glenn, Thomas",ONLINE,1,"Examination of clinical cases of geriatric patients with complex medical conditions through online conferences in preparation, development and defense of portfolio of multiple cases."
23209,DENT,DPBL-512B,39,5,5,Dental Problem Based Learning -- Human Function II,C,,Y," | TBA"," | TBA",,142,,"Navazesh, Mahvash | Chen, Casey | Urata, Mark, Masaru"," | OFFICE",142,"Problem based learning presentation of normal and abnormal function including biochemistry, endocrinology, genetics, immunology, microbiology, nutrition, pharmacology, physiology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized | human clinical case."
23210,DENT,DPBL-513B,39,3,3,Dental Problem Based Learning -- Human Behavior II,C,,Y," | TBA"," | TBA",,142,,"Navazesh, Mahvash | Suarez, Piedad | Urata, Mark, Masaru"," | OFFICE",142,"Problem based learning presentation of normal and abnormal behavior including communication, ethics, multiculturalism, patient management, phobias associated with the treatment of patients with and without special needs. All material discussed with direct relationship to a well-characterized human c | linical case."
23211,DENT,DPBL-514B,39,7,7,Dental Problem Based Learning -- Human Clinical Dentistry II,C,,Y," | TBA"," | TBA",,145,,"Navazesh, Mahvash | Chen, Casey | Duarte, Sillas | Urata, Mark, Masaru"," | OFFICE",145,"Problem based learning approach to the delivery of dental health care. Didactic, preclinical and clinical principles of endodontics, geriatrics, oral diagnosis, oral pathology, oral radiology, oral surgery, orthodontics, pediatric dentistry, periodontics, prosthodontics and restorative dentistry wil | l be presented with a direct relationship to a well-characterized human clinical case."
23220,DENT,DPBL-521B,8,1,1,Dental Problem Based Learning -- Human Structure III,C,,Y," | TBA"," | TBA",,34,,"Navazesh, Mahvash | Snead, Malcolm, L | Urata, Mark, Masaru"," | OFFICE",34,"Problem based learning presentation of normal and abnormal structures including anatormy, cell biology, embryology, histology, pathology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized human clinical case."
23204,DENT,DPBL-521B,40,1,1,Dental Problem Based Learning -- Human Structure III,C,N,Y," | TBA"," | TBA",,141,,"Navazesh, Mahvash | Snead, Malcolm, L | Urata, Mark, Masaru"," | OFFICE",141,"Problem based learning presentation of normal and abnormal structures including anatormy, cell biology, embryology, histology, pathology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized human clinical case."
23221,DENT,DPBL-522B,8,1,1,Dental Problem Based Learning -- Human Function III,C,,Y," | TBA"," | TBA",,34,,"Navazesh, Mahvash | Chen, Casey | Urata, Mark, Masaru"," | OFFICE",34,"Problem based learning presentation of normal and abnormal function including biochemistry, endocrinology, genetics, immunology, microbiology, nutrition, pharmacology, physiology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized | human clinical case."
23205,DENT,DPBL-522B,40,1,1,Dental Problem Based Learning -- Human Function III,C,,Y," | TBA"," | TBA",,141,,"Navazesh, Mahvash | Chen, Casey | Urata, Mark, Masaru"," | OFFICE",141,"Problem based learning presentation of normal and abnormal function including biochemistry, endocrinology, genetics, immunology, microbiology, nutrition, pharmacology, physiology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized | human clinical case."
23222,DENT,DPBL-523B,8,1,1,Dental Problem Based Learning -- Human Behavior III,C,,Y," | TBA"," | TBA",,34,,"Navazesh, Mahvash | Suarez, Piedad | Urata, Mark, Masaru"," | OFFICE",34,"Problem based learning presentation of normal and abnormal behavior including communication, ethics, multiculturalism, patient management, phobias associated with the treatment of patients with and without special needs. All material discussed with direct relationship to a well characterized human c | linical case."
23206,DENT,DPBL-523B,40,1,1,Dental Problem Based Learning -- Human Behavior III,C,,Y," | TBA"," | TBA",,141,,"Navazesh, Mahvash | Suarez, Piedad | Urata, Mark, Masaru"," | OFFICE",141,"Problem based learning presentation of normal and abnormal behavior including communication, ethics, multiculturalism, patient management, phobias associated with the treatment of patients with and without special needs. All material discussed with direct relationship to a well characterized human c | linical case."
23223,DENT,DPBL-524B,8,14,14,Dental Problem Based Learning -- Human Clinical Dentistry III,C,,Y," | TBA"," | TBA",,34,,"Navazesh, Mahvash | Chen, Casey | Duarte, Sillas | Urata, Mark, Masaru"," | OFFICE",34,"Problem based learning approach to the delivery of dental health care. Didactic, preclinical and clinical principles of endodontics, geriatrics, oral diagnosis, oral pathology, oral radiology, oral surgery, orthodontics, pediatric dentistry, periodontics, prosthodontics and restorative dentistry wil | l be presented with a direct relationship to a well-characterized human clinical case."
23207,DENT,DPBL-524B,40,14,14,Dental Problem Based Learning -- Human Clinical Dentistry III,C,,Y," | TBA"," | TBA",,141,,"Navazesh, Mahvash | Chen, Casey | Duarte, Sillas | Urata, Mark, Masaru"," | OFFICE",141,"Problem based learning approach to the delivery of dental health care. Didactic, preclinical and clinical principles of endodontics, geriatrics, oral diagnosis, oral pathology, oral radiology, oral surgery, orthodontics, pediatric dentistry, periodontics, prosthodontics and restorative dentistry wil | l be presented with a direct relationship to a well-characterized human clinical case."
23216,DENT,DPBL-531B,42,1,1,Dental Problem Based Learning -- Human Structure IV,C,,Y,TBA,TBA,,35,,"Navazesh, Mahvash | Snead, Malcolm, L | Urata, Mark, Masaru",OFFICE,35,"Problem based learning presentation of normal and abnormal structures including anatomy, cell biology, embryology, histology, pathology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized human clinical case."
23200,DENT,DPBL-531B,41,1,1,Dental Problem Based Learning -- Human Structure IV,C,,Y," | TBA"," | TBA",,141,,"Navazesh, Mahvash | Snead, Malcolm, L | Urata, Mark, Masaru"," | OFFICE",141,"Problem based learning presentation of normal and abnormal structures including anatomy, cell biology, embryology, histology, pathology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized human clinical case."
23217,DENT,DPBL-532B,42,1,1,Dental Problem Based Learning -- Human Function IV,C,,Y,TBA | TBA,TBA | TBA,,35,,"Navazesh, Mahvash | Chen, Casey | Urata, Mark, Masaru",OFFICE | OFFICE,35,"Problem based learning presentation of normal and abnormal function including biochemistry, endocrinology, genetics, immunology, microbiology, nutrition, pharmacology, physiology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized | human clinical case."
24592,DENT,GPR-603C,739,0.5,0.5,Dental Ethics,C,,Y,TBA,TBA,,4,,"Dayanim, Rebecca",OFFICE,4,Residents prepare for ethical dilemmas which may occur when practicing dentistry. Graded CR/NC.
34218,LAS,FREN-150,1,4,4,French II,C,,Y,10:00,10:50,MTWH,19,,"Misran, Jennifer",THH217,19,Continuation of 120.
23201,DENT,DPBL-532B,41,1,1,Dental Problem Based Learning -- Human Function IV,C,,Y," | TBA"," | TBA",,141,,"Navazesh, Mahvash | Chen, Casey | Urata, Mark, Masaru"," | OFFICE",141,"Problem based learning presentation of normal and abnormal function including biochemistry, endocrinology, genetics, immunology, microbiology, nutrition, pharmacology, physiology from cells, tissues and organs of the human body. All material discussed with direct relationship to a well-characterized | human clinical case."
23218,DENT,DPBL-533B,42,1,1,Dental Problem Based Learning -- Human Behavior IV,C,,Y," | TBA"," | TBA",,35,,"Navazesh, Mahvash | Suarez, Piedad | Urata, Mark, Masaru"," | OFFICE",35,"Problem based learning presentation of normal and abnormal behavior including communication, ethics, multiculturalism, patient management, phobias associated with the treatment of patients with and without special needs. All material discussed with direct relationship to a well-characterized human c | linical case."
23202,DENT,DPBL-533B,41,1,1,Dental Problem Based Learning -- Human Behavior IV,C,,Y," | TBA"," | TBA",,141,,"Navazesh, Mahvash | Suarez, Piedad | Urata, Mark, Masaru"," | OFFICE",141,"Problem based learning presentation of normal and abnormal behavior including communication, ethics, multiculturalism, patient management, phobias associated with the treatment of patients with and without special needs. All material discussed with direct relationship to a well-characterized human c | linical case."
23219,DENT,DPBL-534B,42,13,13,Dental Problem Based Learning -- Human Clinical Dentistry IV,C,,Y," | TBA"," | TBA",,35,,"Navazesh, Mahvash | Chen, Casey | Duarte, Sillas | Urata, Mark, Masaru"," | OFFICE",35,"Problem based learning approach to the delivery of dental health care. Didactic, preclinical and clinical principles of endodontics, geriatrics, oral diagnosis, oral pathology, oral radiology, oral surgery, orthodontics, pediatric dentistry, periodontics, prosthodontics and restorative dentistry wil | l be presented with a direct relationship to a well-characterized human clinical case."
23203,DENT,DPBL-534B,41,13,13,Dental Problem Based Learning -- Human Clinical Dentistry IV,C,,Y,TBA,TBA,,141,,"Navazesh, Mahvash | Chen, Casey | Duarte, Sillas | Urata, Mark, Masaru",OFFICE,141,"Problem based learning approach to the delivery of dental health care. Didactic, preclinical and clinical principles of endodontics, geriatrics, oral diagnosis, oral pathology, oral radiology, oral surgery, orthodontics, pediatric dentistry, periodontics, prosthodontics and restorative dentistry wil | l be presented with a direct relationship to a well-characterized human clinical case."
23350,DENT,ENDO-701B,637,1,1,Seminar: Biological Basis of Endodontic Therapy,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,Investigation of the theoretical and biological bases of clinical endodontic procedures.
23355,DENT,ENDO-701D,990,1,1,Seminar: Biological Basis of Endodontic Therapy,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,Investigation of the theoretical and biological bases of clinical endodontic procedures.
23351,DENT,ENDO-703B,637,0,0,Seminar: Review of Endodontic Literature,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,Critical review and analysis of classical and current endodontic literature.
23356,DENT,ENDO-703D,990,0,0,Seminar: Review of Endodontic Literature,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,Critical review and analysis of classical and current endodontic literature.
23352,DENT,ENDO-705A,637,0,0,Seminar: Endodontic Case Presentation,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,Student presentation of cases for critique and analysis.
23357,DENT,ENDO-705B,990,0,0,Seminar: Endodontic Case Presentation,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,Student presentation of cases for critique and analysis.
23353,DENT,ENDO-710,990,0,0,Seminar: Endodontic Practice Management,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,"Organizing, staffing, and evaluation of an endodontic practice. Modes and patterns of management including use of auxiliaries. Emphasis on endodontist-general practitioner relationship; legal aspects of dental practice. Seminar, 2 hours."
23360,DENT,ENDO-711,637,4,4,Alternatives in Endodontics,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,"Alternative endodontic techniques presented by guest clinicians. Emphasis on endodontics and its relationship with periodontal, restorative, and surgical disciplines."
23354,DENT,ENDO-761B,637,7,7,Clinic: Advanced Endodontics,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,Advanced clinical experience emphasizing the diagnosis and management of complicated endodontic cases.
23358,DENT,ENDO-761E,990,7,7,Clinic: Advanced Endodontics,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,Advanced clinical experience emphasizing the diagnosis and management of complicated endodontic cases.
23359,DENT,ENDO-790,990,0,0,Directed Research: Endodontics,C,,Y,TBA,TBA,,10,,"Roges, Rafael",OFFICE,10,"Principles of planning, organizing, and executing a clinical or educational research project."
23442,DENT,GDEN-712A,315,0.5,0.5,Capstone Research Project for GDEN Students,C,,Y,TBA,TBA,,2,,"Mulligan, Roseann | Hou, Lisa | Mohammadi, Mehdi | Enciso, Reyes | Clark, Glenn, Thomas",ONLINE,2,Production and defense of a research plan that demonstrates significant understanding of a topic in geriatric dentistry.
23445,DENT,GDEN-712C,315,0.5,0.5,Capstone Research Project for GDEN Students,C,,Y,TBA,TBA,,1,,"Mulligan, Roseann | Hou, Lisa | Mohammadi, Mehdi | Clark, Glenn, Thomas",ONLINE,1,Production and defense of a research plan that demonstrates significant understanding of a topic in geriatric dentistry.
23440,DENT,GDEN-715,315,2,2,Geriatric Dentistry Issues,C,,Y,TBA,TBA,,0,,"Mulligan, Roseann | Hou, Lisa | Mohammadi, Mehdi | Clark, Glenn, Thomas",ONLINE,0,"Common geriatric dentistry topics including epidemiology of oral diseases, common dental diseases, their management and prevention protocols for older adult patients. Open only to Master and Professional Dental students."
23448,DENT,GDEN-715,100,2,2,Geriatric Dentistry Issues,C,,Y,TBA,TBA,,0,,"Mulligan, Roseann | Hou, Lisa | Mohammadi, Mehdi | Clark, Glenn, Thomas",ONLINE,0,"Common geriatric dentistry topics including epidemiology of oral diseases, common dental diseases, their management and prevention protocols for older adult patients. Open only to Master and Professional Dental students."
23433,DENT,GDEN-730,315,0.5,0.5,OFPM Case Portfolio Preparation for Dental Residents,C,,Y,TBA,TBA,,1,,"Mulligan, Roseann | Hou, Lisa | Mohammadi, Mehdi | Clark, Glenn, Thomas",ONLINE,1,"Examination of clinical cases of geriatric patients with orofacial pain and oral lesions through online conferences in preparation, development and defense of portfolio of multiple cases."
23436,DENT,GDEN-731,100,0.5,0.5,GDEN Case Portfolio Preparation for Dental Residents,C,,Y,TBA,TBA,,0,,"Mulligan, Roseann | Sharifi, Nazanin | Hou, Lisa | Mohammadi, Mehdi | Clark, Glenn, Thomas",ONLINE,0,"Examination of clinical cases of geriatric patients with complex medical conditions through online conferences in preparation, development and defense of portfolio of multiple cases."
24593,DENT,GPR-604C,739,0.5,0.5,Practice Management,C,,Y,TBA,TBA,,4,,"Dayanim, Rebecca",OFFICE,4,Residents learn tools and principles of running or working in a private practice. Graded CR/NC.
24594,DENT,GPR-605C,739,1,1,Review of General Dentistry Literature,C,,Y,TBA,TBA,,4,,"Dayanim, Rebecca",OFFICE,4,Residents learn how to research various topics and to critically review each article in order to practice evidence-based dentistry. Graded CR/NC.
24595,DENT,GPR-611C,739,0.5,0.5,Emergency Medicine,CL,,Y,TBA,TBA,,4,,"Dayanim, Rebecca",OFFICE,4,Residents utilize medical knowledge to detect and identify early signs of medical emergencies. Graded CR/NC.
24596,DENT,GPR-705C,739,0.5,0.5,Periodontal Treatment Procedures,C,,Y,TBA,TBA,,4,,"Dayanim, Rebecca",OFFICE,4,Presentation of various techniques in current periodontal treatment. Graded CR/NC.
24597,DENT,GPR-706C,739,1,1,Treatment Planning,C,,Y,TBA,TBA,,4,,"Dayanim, Rebecca",OFFICE,4,"Residents lead seminars with case presentations of complex multidisciplinary treatment plans, completed therapy and staff conferences. Graded CR/NC."
24598,DENT,GPR-710C,739,1,1,Oral and Maxillofacial Surgery,C,,Y,TBA,TBA,,4,,"Dayanim, Rebecca",,4,More advanced instruction in oral and maxillofacial surgery and related diseases as appropriate to the practice of general dentistry; extensive clinical experience. Graded CR/NC.
24599,DENT,GPR-733C,739,0.5,0.5,Advanced and Maxillofacial Prosthodontics,C,,Y,TBA,TBA,,4,,"Dayanim, Rebecca",OFFICE,4,"Residents train to treat patients requiring various types of removable and fixed prosthetics, including Maxillofacial prostheses. Graded CR/NC."
24555,DENT,OFP-705,100,2,2,Neurogenic Based Oral and Facial Pains,C,,Y,TBA,TBA,,11,,"Clark, Glenn, Thomas",ONLINE,11,"Covers the prevalence, differential diagnosis, prevention and management  for the various neurogenic orofacial and headache disorders occurring in the oral regions."
24557,DENT,OFP-730A,100,0.5,0.5,Case Portfolio Preparation,C,,Y,TBA,TBA,,4,,"Clark, Glenn, Thomas",ONLINE,4,Case portfolio preparation with weekly online  presentations and discussions of de-identified patient cases.
24558,DENT,OFP-730B,100,0.5,0.5,Case Portfolio Preparation,C,,Y,TBA,TBA,,8,,"Clark, Glenn, Thomas",ONLINE,8,Case portfolio preparation with weekly online presentations and discussions of de-identified patient cases.
24559,DENT,OFP-730C,100,0.5,0.5,Case Portfolio Preparation,C,,Y,TBA,TBA,,0,A,"Vistoso Monreal, Anette, Paulina | Clark, Glenn, Thomas",ONLINE,0,Case portfolio preparation with weekly online  presentations and discussions of de-identified patient cases.
24035,DENT,OFPM-702A,341,1,1,Soft Tissue Disease for Dental Residents,C,,Y,TBA,TBA,,2,,"Clark, Glenn, Thomas | Sedghizadeh, Parish | Vistoso Monreal, Anette, Paulina",OFFICE,2,"Seminars on the various mucosal, cutaneous, gingival and salivary diseases and lesions in the oral and maxillofacial region."
24030,DENT,OFPM-702A,398,1,1,Soft Tissue Disease for Dental Residents,C,,Y,TBA,TBA,,9,A,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,9,"Seminars on the various mucosal, cutaneous, gingival and salivary diseases and lesions in the oral and maxillofacial region."
24029,DENT,OFPM-702A,315,1,1,Soft Tissue Disease for Dental Residents,C,,Y,TBA,TBA,,3,A,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,3,"Seminars on the various mucosal, cutaneous, gingival and salivary diseases and lesions in the oral and maxillofacial region."
24002,DENT,OFPM-704,341,1,1,"Bony Pathology, Radiology and Advanced Imaging for Dental Residents",C,,Y,TBA,TBA,,2,,"Radan, Elham",OFFICE,2,Review of the oral and maxillofacial region osseous and | odontogenic pathologies and the various imaging methods used to | examine this anatomic region.
24021,DENT,OFPM-705,315,2,2,Neurogenic Based Oral and Facial Pains for Dental Residents,C,,Y,TBA,TBA,,2,A,"Clark, Glenn, Thomas",ONLINE,2,Seminars on the diagnostic and therapeutic procedures appropriate | for chronic neurogenic based pain disorders that occur in the | orofacial region.
24007,DENT,OFPM-705,398,2,2,Neurogenic Based Oral and Facial Pains for Dental Residents,C,,Y,TBA,TBA,,6,,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,6,Seminars on the diagnostic and therapeutic procedures appropriate | for chronic neurogenic based pain disorders that occur in the | orofacial region.
24000,DENT,OFPM-705,341,2,2,Neurogenic Based Oral and Facial Pains for Dental Residents,C,,Y,TBA,TBA,,2,,"Clark, Glenn, Thomas | Padilla, Mariela",OFFICE,2,Seminars on the diagnostic and therapeutic procedures appropriate | for chronic neurogenic based pain disorders that occur in the | orofacial region.
24014,DENT,OFPM-709,100,1,1,Headaches for Dental Residents,C,,Y,TBA,TBA,,1,A,"Padilla, Mariela | Clark, Glenn, Thomas",ONLINE,1,"Seminars on the diagnosis, prevention and management of (including pathophysiologic mechanisms) of episodic and chronic headache disorders."
24003,DENT,OFPM-709,367,1,1,Headaches for Dental Residents,C,,Y,TBA,TBA,,2,,"Clark, Glenn, Thomas | Padilla, Mariela",OFFICE,2,"Seminars on the diagnosis, prevention and management of (including pathophysiologic mechanisms) of episodic and chronic headache disorders."
24015,DENT,OFPM-721,398,2,2,Neurosciences for Dental Residents,C,,Y,TBA,TBA,,14,,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,14,Seminars on the neurophysiologic and neuroanatomic bases of | chronic orofacial pain disorders.
24027,DENT,OFPM-724,100,2,2,Psychological and Psychometric Assessment for Dental Residents,C,,Y,TBA,TBA,,12,A,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,12,"Seminars on various topics relating to biobehavioral diagnosis | and, where appropriate, psychological management of patients with | chronic illness in the orofacial region."
24024,DENT,OFPM-724,398,2,2,Psychological and Psychometric Assessment for Dental Residents,C,,Y,TBA,TBA,,4,,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,4,"Seminars on various topics relating to biobehavioral diagnosis | and, where appropriate, psychological management of patients with | chronic illness in the orofacial region."
24019,DENT,OFPM-725,315,2,2,"Epidemiology, Nutrition and Aging for Dental Residents",C,,Y,TBA,TBA,,1,,"Mulligan, Roseann | Hou, Lisa | Mohammadi, Mehdi | Clark, Glenn, Thomas",ONLINE,1,"Seminars on the various mucosal, cutaneous, gingival and salivary diseases and lesions in the oral and maxillofacial region."
24018,DENT,OFPM-725,398,2,2,"Epidemiology, Nutrition and Aging for Dental Residents",C,,Y,TBA,TBA,,25,,"Mulligan, Roseann | Hou, Lisa | Mohammadi, Mehdi | Clark, Glenn, Thomas",ONLINE,25,"Seminars on the various mucosal, cutaneous, gingival and salivary diseases and lesions in the oral and maxillofacial region."
47780,DENT,OT-490,46,1,8,Directed Research,C,,Y,TBA,TBA,,0,,,OFFICE,0,Individual research and readings. Not available for graduate credit.
24020,DENT,OFPM-725,100,2,2,"Epidemiology, Nutrition and Aging for Dental Residents",C,,Y,TBA,TBA,,1,,"Mulligan, Roseann | Hou, Lisa | Mohammadi, Mehdi | Clark, Glenn, Thomas",ONLINE,1,"Seminars on the various mucosal, cutaneous, gingival and salivary diseases and lesions in the oral and maxillofacial region."
24001,DENT,OFPM-725,341,2,2,"Epidemiology, Nutrition and Aging for Dental Residents",C,,Y,TBA,TBA,,4,,"Mulligan, Roseann | Clark, Glenn, Thomas",OFFICE,4,"Seminars on the various mucosal, cutaneous, gingival and salivary diseases and lesions in the oral and maxillofacial region."
24004,DENT,OFPM-728,367,0,0,Case Presentations by OFP-OM Residents,C,,Y,TBA,TBA,,2,,"Clark, Glenn, Thomas | Padilla, Mariela",OFFICE,2,Case presentations by Orofacial Pain/Oral Medicine residents in | which each resident presents and defends the diagnostic and | treatment methods selected for a particular case.
24017,DENT,OFPM-729A,398,0.5,0.5,Capstone Project for OFPOM Residents,C,,Y,TBA,TBA,,8,,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,8,Residents complete their capstone research project in a topic in the area of their chosen focus/specialization.
24028,DENT,OFPM-729B,398,0.5,0.5,Capstone Project for OFPOM Residents,C,,Y,TBA,TBA,,2,A,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,2,Residents complete their capstone research project in a topic in the area of their chosen focus/specialization.
24037,DENT,OFPM-730A,315,0.5,0.5,Case Portfolio Preparation by Online OFPOM Residents,C,,Y,TBA,TBA,,1,A,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,1,"Multiple elements including weekly online conferences, presentations and discussions of de-identified patient cases; learning need assignments; preparation and defense of case-based e-Portfolio."
24012,DENT,OFPM-730A,398,0.5,0.5,Case Portfolio Preparation by Online OFPOM Residents,C,,Y,TBA,TBA,,1,,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,1,"Multiple elements including weekly online conferences, presentations and discussions of de-identified patient cases; learning need assignments; preparation and defense of case-based e-Portfolio."
24009,DENT,OFPM-730B,398,0.5,0.5,Case Portfolio Preparation by Online OFPOM Residents,C,,Y,TBA,TBA,,5,,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,5,"Multiple elements including weekly online conferences, presentations and discussions of de-identified patient cases; learning need assignments; preparation and defense of case-based e-Portfolio."
24011,DENT,OFPM-730C,398,0.5,0.5,Case Portfolio Preparation by Online OFPOM Residents,C,,Y,TBA,TBA,,3,,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,3,"Multiple elements including weekly online conferences, presentations and discussions of de-identified patient cases; learning need assignments; preparation and defense of case-based e-Portfolio."
24016,DENT,OFPM-730D,398,0.5,0.5,Case Portfolio Preparation by Online OFPOM Residents,C,,Y,TBA,TBA,,8,,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,8,"Multiple elements including weekly online conferences, presentations and discussions of de-identified patient cases; learning need assignments; preparation and defense of case-based e-Portfolio."
24026,DENT,OFPM-730E,398,0.5,0.5,Case Portfolio Preparation by Online OFPOM Residents,C,,Y,TBA,TBA,,12,,"Clark, Glenn, Thomas | Vistoso Monreal, Anette, Paulina",ONLINE,12,"Multiple elements including weekly online conferences, presentations and discussions of de-identified patient cases; learning need assignments; preparation and defense of case-based e-Portfolio."
